143.107.162.166 - - [29/Jan/2015:12:51:44 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.547829639875342 HTTP/1.1" 200 41320
143.107.162.166 - - [29/Jan/2015:12:51:58 -0200] "POST /remoto/results.do HTTP/1.1" 200 21827
143.107.162.166 - - [29/Jan/2015:12:52:00 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.4667881684948171 HTTP/1.1" 200 44259
143.107.162.166 - - [29/Jan/2015:12:52:16 -0200] "GET /remoto/input.do HTTP/1.1" 200 25657
143.107.162.166 - - [29/Jan/2015:12:52:17 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.7685543560438718 HTTP/1.1" 200 37143
143.107.162.166 - - [29/Jan/2015:12:52:18 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.4712239239228092 HTTP/1.1" 200 30665
143.107.162.166 - - [29/Jan/2015:12:52:20 -0200] "GET /remoto/results.do?opt=chart_img HTTP/1.1" 200 18967
143.107.162.166 - - [29/Jan/2015:12:52:22 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.5526268338384978 HTTP/1.1" 200 45791
143.107.162.166 - - [29/Jan/2015:12:54:29 -0200] "POST /remoto/results.do HTTP/1.1" 200 25678
143.107.162.166 - - [29/Jan/2015:12:54:33 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.41661688281193865 HTTP/1.1" 200 46882
143.107.162.166 - - [29/Jan/2015:12:54:37 -0200] "POST /remoto/results.do HTTP/1.1" 200 25675
143.107.162.166 - - [29/Jan/2015:12:54:42 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.6864287924276695 HTTP/1.1" 200 53040
143.107.162.166 - - [29/Jan/2015:12:55:32 -0200] "POST /remoto/results.do HTTP/1.1" 200 25676
143.107.162.166 - - [29/Jan/2015:12:55:37 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.6030398807788594 HTTP/1.1" 200 53203
143.107.162.166 - - [29/Jan/2015:13:00:45 -0200] "POST /remoto/results.do HTTP/1.1" 200 25675
143.107.162.166 - - [29/Jan/2015:13:00:55 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_34&id=0.843236662273762 HTTP/1.1" 200 68879
127.0.0.1 - - [29/Jan/2015:13:01:16 -0200] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [29/Jan/2015:13:01:17 -0200] "GET /remoto/input.do HTTP/1.1" 200 25657
143.107.162.166 - - [29/Jan/2015:13:01:18 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.3881174018652559 HTTP/1.1" 200 38419
