104.193.9.236 - - [26/Jun/2015:17:37:37 -0300] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 1007
127.0.0.1 - - [26/Jun/2015:17:41:25 -0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
127.0.0.1 - - [26/Jun/2015:17:41:43 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/input.do HTTP/1.1" 200 22510
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.0332118084579357 HTTP/1.1" 200 34988
127.0.0.1 - - [26/Jun/2015:17:41:49 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.9435847090259694 HTTP/1.1" 200 24637
127.0.0.1 - - [26/Jun/2015:17:41:52 -0300] "GET /remoto/general.do HTTP/1.1" 200 10755
127.0.0.1 - - [26/Jun/2015:17:41:52 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
127.0.0.1 - - [26/Jun/2015:17:41:52 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
127.0.0.1 - - [26/Jun/2015:17:42:47 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [26/Jun/2015:17:42:51 -0300] "GET /remoto/results.do?opt=chart_img HTTP/1.1" 200 6041
143.107.162.166 - - [26/Jun/2015:17:42:52 -0300] "GET /remoto/start.do HTTP/1.1" 200 7156
143.107.162.166 - - [26/Jun/2015:17:42:54 -0300] "GET /remoto/general.do HTTP/1.1" 200 10233
