127.0.0.1 - - [08/Jan/2014:16:06:40 -0200] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [08/Jan/2014:16:11:23 -0200] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [08/Jan/2014:16:11:24 -0200] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [08/Jan/2014:16:11:26 -0200] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [08/Jan/2014:16:11:26 -0200] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [08/Jan/2014:16:11:26 -0200] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [08/Jan/2014:16:11:32 -0200] "POST /remoto/login.do;jsessionid=F5E2BDCFC79092AFFB69FF064E12B29A HTTP/1.1" 200 8686
143.107.162.166 - - [08/Jan/2014:16:11:34 -0200] "GET /remoto/general.do HTTP/1.1" 200 11116
143.107.162.166 - - [08/Jan/2014:16:11:34 -0200] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [08/Jan/2014:16:11:45 -0200] "POST /remoto/general.do HTTP/1.1" 200 11113
143.107.162.166 - - [08/Jan/2014:16:11:47 -0200] "POST /remoto/general.do HTTP/1.1" 200 11113
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/input.do HTTP/1.1" 200 22785
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.8849633674328785 HTTP/1.1" 200 27645
143.107.162.166 - - [08/Jan/2014:16:11:49 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.44109132949968033 HTTP/1.1" 200 21676
143.107.162.166 - - [08/Jan/2014:16:11:51 -0200] "POST /remoto/input.do HTTP/1.1" 200 22459
143.107.162.166 - - [08/Jan/2014:16:11:51 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.8681780104979505 HTTP/1.1" 200 36425
143.107.162.166 - - [08/Jan/2014:16:11:51 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.4073424496532616 HTTP/1.1" 200 21676
143.107.162.166 - - [08/Jan/2014:16:11:52 -0200] "POST /remoto/input.do HTTP/1.1" 200 22461
143.107.162.166 - - [08/Jan/2014:16:11:52 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.050756097992332605 HTTP/1.1" 200 32446
143.107.162.166 - - [08/Jan/2014:16:11:52 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.9587081131066685 HTTP/1.1" 200 21676
143.107.162.166 - - [08/Jan/2014:16:11:55 -0200] "GET /remoto/network.do HTTP/1.1" 200 19279
143.107.162.166 - - [08/Jan/2014:16:11:55 -0200] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.45135699371993054 HTTP/1.1" 200 29994
143.107.162.166 - - [08/Jan/2014:16:12:02 -0200] "GET /remoto/synapse.do HTTP/1.1" 200 14325
143.107.162.166 - - [08/Jan/2014:16:12:02 -0200] "GET /remoto/apply.css HTTP/1.1" 200 129
