61.136.151.251 - - [24/Sep/2013:00:07:17 -0300] "GET / HTTP/1.0" 404 951
221.226.181.118 - - [24/Sep/2013:02:07:24 -0300] "GET /science/books/a/fulltext HTTP/1.1" 404 999
221.226.181.118 - - [24/Sep/2013:02:09:39 -0300] "GET /science/books/a/fulltext HTTP/1.1" 404 999
221.226.181.118 - - [24/Sep/2013:02:21:44 -0300] "GET / HTTP/1.1" 404 951
94.23.45.14 - - [24/Sep/2013:02:27:18 -0300] "HEAD / HTTP/1.0" 404 -
211.142.122.194 - - [24/Sep/2013:03:24:45 -0300] "GET /science/browse HTTP/1.1" 404 979
143.107.162.166 - - [24/Sep/2013:16:58:07 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/musculotendon.do HTTP/1.1" 200 22454
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/SOCDS.png HTTP/1.1" 200 28369
143.107.162.166 - - [24/Sep/2013:16:59:33 -0300] "GET /remoto/Hill_model.png HTTP/1.1" 200 54661
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [24/Sep/2013:16:59:34 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 22450
143.107.162.166 - - [24/Sep/2013:18:01:07 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 22449
143.107.162.166 - - [24/Sep/2013:18:01:41 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 22450
8.35.201.55 - - [24/Sep/2013:18:55:34 -0300] "GET /favicon.ico HTTP/1.1" 404 973
8.35.201.54 - - [24/Sep/2013:18:55:35 -0300] "GET /remoto/musculotendon.do HTTP/1.1" 200 22498
8.35.201.50 - - [24/Sep/2013:18:55:35 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
23.23.1.198 - - [24/Sep/2013:18:55:36 -0300] "GET /remoto/SOCDS.png HTTP/1.1" 200 28369
23.23.1.198 - - [24/Sep/2013:18:55:36 -0300] "GET /remoto/Hill_model.png HTTP/1.1" 200 54661
221.4.190.112 - - [24/Sep/2013:22:26:26 -0300] "GET / HTTP/1.0" 404 951
113.57.188.106 - - [24/Sep/2013:23:43:30 -0300] "GET /science/books/a/fulltext HTTP/1.1" 404 999
