127.0.0.1 - - [03/Oct/2013:10:43:53 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [03/Oct/2013:10:44:13 -0300] "GET /remoto/general.do HTTP/1.1" 200 10973
143.107.162.166 - - [03/Oct/2013:10:44:13 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [03/Oct/2013:10:44:19 -0300] "POST /remoto/general.do HTTP/1.1" 200 10968
143.107.162.166 - - [03/Oct/2013:10:44:22 -0300] "POST /remoto/general.do HTTP/1.1" 200 10968
143.107.162.166 - - [03/Oct/2013:10:44:24 -0300] "GET /remoto/network.do HTTP/1.1" 200 19278
143.107.162.166 - - [03/Oct/2013:10:44:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.4161479489123425 HTTP/1.1" 200 29994
143.107.162.166 - - [03/Oct/2013:10:44:31 -0300] "POST /remoto/network.do HTTP/1.1" 200 19260
143.107.162.166 - - [03/Oct/2013:10:44:32 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.7091747440732893 HTTP/1.1" 200 26484
143.107.162.166 - - [03/Oct/2013:10:44:32 -0300] "POST /remoto/network.do HTTP/1.1" 200 19243
143.107.162.166 - - [03/Oct/2013:10:44:33 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.04621381412153369 HTTP/1.1" 200 27937
143.107.162.166 - - [03/Oct/2013:10:44:34 -0300] "POST /remoto/network.do HTTP/1.1" 200 19224
143.107.162.166 - - [03/Oct/2013:10:44:34 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.6137370999907976 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:35 -0300] "POST /remoto/network.do HTTP/1.1" 200 19207
143.107.162.166 - - [03/Oct/2013:10:44:35 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.45278302491160083 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:36 -0300] "POST /remoto/network.do HTTP/1.1" 200 19188
143.107.162.166 - - [03/Oct/2013:10:44:36 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.8657197571447008 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:37 -0300] "POST /remoto/network.do HTTP/1.1" 200 19170
143.107.162.166 - - [03/Oct/2013:10:44:37 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.8660267239093787 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:37 -0300] "POST /remoto/network.do HTTP/1.1" 200 19154
143.107.162.166 - - [03/Oct/2013:10:44:38 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.009036250525445433 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:46 -0300] "POST /remoto/network.do HTTP/1.1" 200 19150
143.107.162.166 - - [03/Oct/2013:10:44:46 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.30258884561288 HTTP/1.1" 200 29712
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/input.do HTTP/1.1" 200 22459
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.5787448658039219 HTTP/1.1" 200 35816
143.107.162.166 - - [03/Oct/2013:10:44:51 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.6610582849290947 HTTP/1.1" 200 21676
143.107.162.166 - - [03/Oct/2013:10:44:57 -0300] "GET /remoto/synapse.do HTTP/1.1" 200 10911
143.107.162.166 - - [03/Oct/2013:10:44:57 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [03/Oct/2013:10:45:01 -0300] "POST /remoto/synapse.do HTTP/1.1" 200 10909
143.107.162.166 - - [03/Oct/2013:10:45:05 -0300] "POST /remoto/synapse.do HTTP/1.1" 200 10910
143.107.162.166 - - [03/Oct/2013:10:45:39 -0300] "GET /remoto/general.do HTTP/1.1" 200 10968
143.107.162.166 - - [03/Oct/2013:10:45:45 -0300] "POST /remoto/general.do HTTP/1.1" 200 11055
143.107.162.166 - - [03/Oct/2013:10:46:00 -0300] "POST /remoto/general.do HTTP/1.1" 200 11029
143.107.162.166 - - [03/Oct/2013:10:46:03 -0300] "GET /remoto/miscellaneous.do HTTP/1.1" 200 30525
143.107.162.166 - - [03/Oct/2013:10:46:03 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel_misc.css HTTP/1.1" 200 4094
